R-DRE-3371453	Regulation of HSF1-mediated heat shock response	27	45	1	1	1	0	0	0	1	0	0	13	45	4834	0.88667	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3371556	Cellular response to heat stress	38	60	2	1	1	1	1	1	2	0	0	13	60	4819	0.85161	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-350562	Regulation of ornithine decarboxylase (ODC)	29	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-351202	Metabolism of polyamines	32	44	4	3	3	2	2	1	4	1	1	12	43	4836	0.99421	0.11095	0.11095	2.27	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-196741	Cobalamin (Cbl, vitamin B12) transport and metabolism	7	13	1	0	0	0	0	0	1	0	0	13	13	4866	0.96596	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196849	Metabolism of water-soluble vitamins and cofactors	28	64	2	0	0	1	1	1	2	0	0	13	64	4815	0.84248	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2142753	Arachidonic acid metabolism	15	30	1	0	0	1	1	1	1	0	0	13	30	4849	0.92306	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-382556	ABC-family proteins mediated transport	42	65	4	3	3	2	2	1	4	1	1	12	64	4815	0.98766	0.15979	0.15979	1.54	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-1638074	Keratan sulfate/keratin metabolism	5	23	1	0	0	0	0	0	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2022854	Keratan sulfate biosynthesis	4	21	1	0	0	0	0	0	1	0	0	13	21	4858	0.94554	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-390522	Striated Muscle Contraction	22	25	1	1	1	1	1	0	1	0	0	13	25	4854	0.93549	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2682334	EPH-Ephrin signaling	31	53	2	1	0	2	2	1	2	0	0	13	53	4826	0.86781	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-3928662	EPHB-mediated forward signaling	20	29	1	1	0	1	1	1	1	0	0	13	29	4850	0.92553	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5658442	Regulation of RAS by GAPs	32	48	4	3	3	2	2	1	4	1	1	12	47	4832	0.99314	0.12045	0.12045	2.08	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8848021	Signaling by PTK6	18	26	1	1	0	1	1	1	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	7	8	1	1	0	1	1	1	1	0	0	13	8	4871	0.97892	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-9006927	Signaling by Non-Receptor Tyrosine Kinases	18	26	1	1	0	1	1	1	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	11	23	1	0	0	1	1	0	1	0	0	13	23	4856	0.9405	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425393	Transport of inorganic cations/anions and amino acids/oligopeptides	22	62	1	0	0	0	0	0	1	0	0	13	62	4817	0.84703	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-425407	SLC-mediated transmembrane transport	39	121	2	1	1	0	0	0	2	0	0	13	121	4758	0.72181	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-71288	Creatine metabolism	5	13	1	1	1	1	1	1	1	1	1	12	12	4867	0.9995	0.034042	0.034042	7.69	266799	gatm	ENSDARG00000036239		396.638	396.638	396.638		396.638		240.261	240.261	240.261		240.261		654.795	654.795	654.795		654.795		0.0	396.638			396.638	240.261	654.795	1	0	1	266799	ENSDARG00000036239	396.638	396.638		240.261	240.261		654.795	654.795		396.638	240.261	654.795	0															0						Linear,1(1)	3.0333583354949956	3.033358335494995	3.033358335494995	3.033358335494995	0.0	3.033358335494995	396.638	396.638	240.261	240.261	654.795	654.795	UP	1.0	0.0	0.0	
R-DRE-983705	Signaling by the B Cell Receptor (BCR)	37	59	4	3	3	2	2	1	4	1	1	12	58	4821	0.98976	0.14609	0.14609	1.69	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-674695	RNA Polymerase II Pre-transcription Events	33	48	2	2	2	1	1	1	2	1	1	12	47	4832	0.99314	0.12045	0.12045	2.08	556710	taf10	ENSDARG00000068641		1.01952	1.01952	1.01952		1.01952		0.450419	0.450419	0.450419		0.450419		2.30769	2.30769	2.30769		2.30769						1.01952	0.450419	2.30769	1	0	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	0															0						Hill,1(1)	4.176272392272949	4.176272392272949	4.176272392272949	4.176272392272949	0.0	4.176272392272949	1.01952	1.01952	0.450419	0.450419	2.30769	2.30769	UP	1.0	0.0	0.0	
R-DRE-73776	RNA Polymerase II Promoter Escape	24	34	2	2	2	1	1	1	2	1	1	12	33	4846	0.99651	0.08678	0.08678	2.94	556710	taf10	ENSDARG00000068641		1.01952	1.01952	1.01952		1.01952		0.450419	0.450419	0.450419		0.450419		2.30769	2.30769	2.30769		2.30769						1.01952	0.450419	2.30769	1	0	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	0															0						Hill,1(1)	4.176272392272949	4.176272392272949	4.176272392272949	4.176272392272949	0.0	4.176272392272949	1.01952	1.01952	0.450419	0.450419	2.30769	2.30769	UP	1.0	0.0	0.0	
R-DRE-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	24	34	2	2	2	1	1	1	2	1	1	12	33	4846	0.99651	0.08678	0.08678	2.94	556710	taf10	ENSDARG00000068641		1.01952	1.01952	1.01952		1.01952		0.450419	0.450419	0.450419		0.450419		2.30769	2.30769	2.30769		2.30769						1.01952	0.450419	2.30769	1	0	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	0															0						Hill,1(1)	4.176272392272949	4.176272392272949	4.176272392272949	4.176272392272949	0.0	4.176272392272949	1.01952	1.01952	0.450419	0.450419	2.30769	2.30769	UP	1.0	0.0	0.0	
R-DRE-75953	RNA Polymerase II Transcription Initiation	24	34	2	2	2	1	1	1	2	1	1	12	33	4846	0.99651	0.08678	0.08678	2.94	556710	taf10	ENSDARG00000068641		1.01952	1.01952	1.01952		1.01952		0.450419	0.450419	0.450419		0.450419		2.30769	2.30769	2.30769		2.30769						1.01952	0.450419	2.30769	1	0	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	0															0						Hill,1(1)	4.176272392272949	4.176272392272949	4.176272392272949	4.176272392272949	0.0	4.176272392272949	1.01952	1.01952	0.450419	0.450419	2.30769	2.30769	UP	1.0	0.0	0.0	
R-DRE-76042	RNA Polymerase II Transcription Initiation And Promoter Clearance	24	34	2	2	2	1	1	1	2	1	1	12	33	4846	0.99651	0.08678	0.08678	2.94	556710	taf10	ENSDARG00000068641		1.01952	1.01952	1.01952		1.01952		0.450419	0.450419	0.450419		0.450419		2.30769	2.30769	2.30769		2.30769						1.01952	0.450419	2.30769	1	0	1	556710	ENSDARG00000068641	1.01952	1.01952		0.450419	0.450419		2.30769	2.30769		1.01952	0.450419	2.30769	0															0						Hill,1(1)	4.176272392272949	4.176272392272949	4.176272392272949	4.176272392272949	0.0	4.176272392272949	1.01952	1.01952	0.450419	0.450419	2.30769	2.30769	UP	1.0	0.0	0.0	
R-DRE-114604	GPVI-mediated activation cascade	6	11	1	1	0	1	1	1	1	0	0	13	11	4868	0.97112	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2172127	DAP12 interactions	6	20	1	1	0	1	1	1	1	0	0	13	20	4859	0.94807	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2424491	DAP12 signaling	6	15	1	1	0	1	1	1	1	0	0	13	15	4864	0.96082	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-373752	Netrin-1 signaling	9	19	1	1	0	1	1	1	1	0	0	13	19	4860	0.95061	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-376172	DSCAM interactions	2	5	1	1	0	1	1	1	1	0	0	13	5	4874	0.98678	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-196807	Nicotinate metabolism	7	16	1	0	0	1	1	1	1	0	0	13	16	4863	0.95826	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-197264	Nicotinamide salvaging	4	9	1	0	0	1	1	1	1	0	0	13	9	4870	0.97632	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-6794362	Protein-protein interactions at synapses	17	38	1	0	0	1	1	0	1	0	0	13	38	4841	0.90348	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-5687128	MAPK6/MAPK4 signaling	41	56	5	4	3	3	3	2	5	1	1	12	55	4824	0.99074	0.13917	0.13917	1.79	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-6806834	Signaling by MET	31	47	2	2	1	1	1	1	2	0	0	13	47	4832	0.88192	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2454202	Fc epsilon receptor (FCERI) signaling	21	43	2	2	1	1	1	1	2	0	0	13	43	4836	0.89144	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2871796	FCERI mediated MAPK activation	10	24	2	2	1	1	1	1	2	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2871809	FCERI mediated Ca+2 mobilization	10	22	1	1	1	0	0	0	1	0	0	13	22	4857	0.94302	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-2871837	FCERI mediated NF-kB activation	15	26	1	1	1	0	0	0	1	0	0	13	26	4853	0.93299	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1474290	Collagen formation	15	34	1	1	1	0	0	0	1	0	0	13	34	4845	0.91322	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-1650814	Collagen biosynthesis and modifying enzymes	12	30	1	1	1	0	0	0	1	0	0	13	30	4849	0.92306	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-450531	Regulation of mRNA stability by proteins that bind AU-rich elements	40	60	4	3	3	2	2	1	4	1	1	12	59	4820	0.98942	0.14839	0.14839	1.67	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8932339	ROS sensing by NFE2L2	28	39	4	3	3	2	2	1	4	1	1	12	38	4841	0.99543	0.098939	0.098939	2.56	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-8951664	Neddylation	74	144	7	5	4	3	3	2	7	1	1	12	143	4736	0.94572	0.32219	0.32219	0.69	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-9707587	Regulation of HMOX1 expression and activity	32	45	4	3	3	2	2	1	4	1	1	12	44	4835	0.99395	0.11333	0.11333	2.22	321947	psmc3	ENSDARG00000007141		530.492	530.492	530.492		530.492		285.643	285.643	285.643		285.643		985.219	985.219	985.219		985.219						530.492	285.643	985.219	1	0	1	321947	ENSDARG00000007141	530.492	530.492		285.643	285.643		985.219	985.219		530.492	285.643	985.219	0															0						Linear,1(1)	Infinity	Infinity	Infinity	Infinity	0.0	Infinity	530.492	530.492	285.643	285.643	985.219	985.219	UP	1.0	0.0	0.0	
R-DRE-157579	Telomere Maintenance	24	45	1	1	1	1	1	1	1	1	1	12	44	4835	0.99395	0.11333	0.11333	2.22	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-180786	Extension of Telomeres	17	28	1	1	1	1	1	1	1	1	1	12	27	4852	0.99763	0.07199	0.07199	3.57	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-73886	Chromosome Maintenance	30	63	1	1	1	1	1	1	1	1	1	12	62	4817	0.98838	0.15525	0.15525	1.59	30678	pcna	ENSDARG00000054155		10.5824	10.5824	10.5824		10.5824		3.01113	3.01113	3.01113		3.01113		37.1908	37.1908	37.1908		37.1908						10.5824	3.01113	37.1908	1	0	1	30678	ENSDARG00000054155	10.5824	10.5824		3.01113	3.01113		37.1908	37.1908		10.5824	3.01113	37.1908	0															0						Exp 5,1(1)	1.9148547649383545	1.9148547649383545	1.9148547649383545	1.9148547649383545	0.0	1.9148547649383545	10.5824	10.5824	3.01113	3.01113	37.1908	37.1908	UP	1.0	0.0	0.0	
R-DRE-392518	Signal amplification	12	24	1	1	0	1	1	1	1	0	0	13	24	4855	0.93799	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-159236	Transport of Mature mRNA derived from an Intron-Containing Transcript	33	43	1	1	1	0	0	0	1	0	0	13	43	4836	0.89144	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72202	Transport of Mature Transcript to Cytoplasm	33	43	1	1	1	0	0	0	1	0	0	13	43	4836	0.89144	1.0	1.0	0.0																														0	0	0															0															0																							
R-DRE-72203	Processing of Capped Intron-Containing Pre-mRNA	124	157	6	5	3	3	3	2	6	0	0	13	157	4722	0.65404	1.0	1.0	0.0																														0	0	0															0															0																							
